x	y	theta1	theta2	steps1	steps2	interval
3.344	3.963	144.634	46.475	0	-1	2
3.340	3.974	144.601	46.564	0	-1	2
3.336	3.985	144.567	46.655	0	-1	2
3.332	3.996	144.533	46.743	0	-1	2
3.328	4.007	144.499	46.835	0	-1	2
3.324	4.018	144.465	46.923	0	-1	2
3.320	4.029	144.430	47.014	0	-1	2
3.316	4.040	144.396	47.102	0	-1	2
3.312	4.050	144.362	47.191	0	-1	2
3.308	4.061	144.327	47.282	0	-1	2
3.304	4.072	144.293	47.370	0	-1	2
3.300	4.083	144.258	47.462	0	-1	2
3.296	4.094	144.223	47.550	0	-1	2
3.292	4.105	144.188	47.641	0	-1	2
3.288	4.116	144.153	47.730	0	-1	2
3.284	4.127	144.117	47.821	0	-1	2
3.280	4.138	144.083	47.910	0	-1	2
3.276	4.149	144.047	48.001	0	-1	2
3.272	4.160	144.012	48.089	0	-1	2
3.268	4.171	143.975	48.181	0	-1	2
3.264	4.181	143.940	48.269	0	-1	2
3.260	4.193	143.904	48.361	0	-1	2
3.256	4.203	143.868	48.449	0	-1	2
3.252	4.214	143.832	48.541	0	-1	2
3.248	4.225	143.796	48.629	0	-1	2
3.244	4.236	143.759	48.721	0	-1	2
3.240	4.247	143.724	48.809	0	-1	2
3.236	4.258	143.687	48.901	0	-1	2
3.232	4.269	143.651	48.989	0	-1	2
3.228	4.280	143.613	49.081	0	-1	2
3.224	4.291	143.577	49.169	0	-1	2
3.220	4.302	143.540	49.261	0	-1	2
3.216	4.312	143.505	49.347	0	-1	2
3.212	4.323	143.467	49.438	0	-1	2
3.208	4.334	143.430	49.527	0	-1	2
3.204	4.345	143.393	49.619	0	-1	2
3.200	4.356	143.356	49.707	0	-1	2
3.196	4.367	143.318	49.799	0	-1	2
3.192	4.378	143.281	49.888	0	-1	2
3.188	4.388	143.244	49.977	0	-1	2
3.184	4.399	143.205	50.068	0	-1	2
3.180	4.410	143.168	50.157	0	-1	2
3.176	4.421	143.130	50.249	0	-1	2
3.172	4.432	143.092	50.338	0	-1	2
3.168	4.443	143.053	50.430	0	-1	2
3.164	4.454	143.016	50.519	0	-1	2
3.160	4.465	142.977	50.611	0	-1	2
3.156	4.476	142.939	50.700	0	-1	2
3.152	4.487	142.900	50.792	0	-1	2
3.148	4.498	142.862	50.881	0	-1	2
3.144	4.509	142.822	50.973	0	-1	2
3.140	4.519	142.784	51.062	0	-1	2
3.136	4.531	142.745	51.154	0	-1	2
3.132	4.541	142.706	51.243	0	-1	2
3.128	4.552	142.666	51.335	0	-1	2
3.124	4.563	142.628	51.424	0	-1	2
3.120	4.574	142.588	51.517	0	-1	2
3.116	4.585	142.549	51.606	0	-1	2
3.112	4.596	142.509	51.698	0	-1	2
3.108	4.607	142.470	51.787	0	-1	2
3.104	4.618	142.429	51.880	0	-1	2
3.100	4.629	142.390	51.969	0	-1	2
3.096	4.640	142.349	52.062	0	-1	2
3.092	4.650	142.310	52.151	0	-1	2
3.088	4.662	142.269	52.244	0	-1	2
3.084	4.672	142.229	52.333	0	-1	2
3.080	4.683	142.188	52.426	0	-1	2
3.076	4.694	142.148	52.515	0	-1	2
3.072	4.705	142.108	52.605	0	-1	2
3.068	4.716	142.067	52.697	0	-1	2
3.064	4.727	142.027	52.787	0	-1	2
3.060	4.738	141.985	52.880	0	-1	2
3.056	4.749	141.945	52.970	0	-1	2
3.052	4.760	141.903	53.062	0	-1	2
3.048	4.770	141.863	53.152	0	-1	2
3.044	4.782	141.821	53.245	0	-1	2
3.040	4.792	141.780	53.335	0	-1	2
3.036	4.803	141.738	53.428	0	-1	2
3.032	4.814	141.697	53.518	0	-1	2
3.028	4.825	141.654	53.611	0	-1	2
