x	y
0.982	2.323
0.982	2.323
0.928	2.301
0.876	2.275
0.826	2.244
0.779	2.210
0.735	2.171
0.735	2.171
0.688	2.133
0.637	2.100
0.582	2.074
0.524	2.056
0.524	2.056
0.467	2.056
0.414	2.075
0.370	2.111
0.340	2.159
0.340	2.159
0.356	2.172
0.356	2.172
0.414	2.177
0.469	2.194
0.520	2.223
0.520	2.223
0.549	2.277
0.561	2.337
0.561	2.337
0.577	2.389
0.577	2.389
0.592	2.416
0.607	2.442
0.623	2.468
0.638	2.495
0.653	2.521
0.668	2.547
0.668	2.547
0.684	2.573
0.699	2.598
0.714	2.624
0.729	2.649
0.744	2.675
0.759	2.700
0.774	2.726
0.774	2.726
0.788	2.749
0.802	2.772
0.816	2.796
0.831	2.819
0.845	2.842
0.859	2.865
0.873	2.889
0.887	2.912
0.887	2.912
0.902	2.938
0.918	2.964
0.934	2.990
0.950	3.016
0.966	3.042
0.982	3.068
0.997	3.094
0.997	3.094
1.012	3.117
1.026	3.140
1.041	3.164
1.055	3.187
1.069	3.211
1.084	3.234
1.098	3.257
1.098	3.257
1.115	3.284
1.132	3.311
1.148	3.337
1.165	3.364
1.182	3.390
1.182	3.390
1.201	3.420
1.220	3.450
1.239	3.480
1.239	3.480
1.263	3.513
1.263	3.513
1.299	3.457
1.339	3.405
1.339	3.405
1.436	3.373
1.436	3.373
1.441	3.363
1.441	3.363
1.448	3.335
1.455	3.308
1.462	3.280
1.469	3.253
1.476	3.225
1.483	3.198
1.490	3.171
1.496	3.143
1.503	3.116
1.510	3.088
1.510	3.088
1.519	3.031
1.531	2.975
1.547	2.920
1.567	2.866
1.590	2.814
1.617	2.763
1.647	2.714
1.680	2.667
1.716	2.623
1.716	2.623
1.771	2.564
1.839	2.521
1.839	2.521
1.898	2.509
1.957	2.493
1.957	2.493
1.962	2.489
1.962	2.489
1.906	2.433
1.847	2.380
1.847	2.380
1.822	2.358
1.796	2.337
1.796	2.337
1.770	2.315
1.744	2.293
1.744	2.293
1.692	2.252
1.639	2.212
1.585	2.174
1.585	2.174
1.553	2.151
1.520	2.128
1.520	2.128
1.497	2.113
1.474	2.097
1.452	2.082
1.452	2.082
1.418	2.060
1.384	2.038
1.384	2.038
1.359	2.022
1.334	2.006
1.308	1.990
1.283	1.974
1.258	1.958
1.258	1.958
1.231	1.942
1.205	1.925
1.205	1.925
1.156	1.898
1.106	1.873
1.055	1.851
1.003	1.832
0.949	1.816
0.895	1.804
0.840	1.795
0.785	1.789
0.729	1.787
0.674	1.787
0.674	1.787
0.611	1.799
0.552	1.822
0.499	1.857
0.284	2.246
0.252	2.263
0.284	2.246
0.339	2.272
0.389	2.306
0.434	2.347
0.471	2.396
0.471	2.396
0.486	2.421
0.502	2.445
0.517	2.470
0.533	2.495
0.548	2.520
0.548	2.520
0.563	2.545
0.579	2.570
0.594	2.595
0.609	2.620
0.624	2.645
0.624	2.645
0.639	2.670
0.654	2.695
0.668	2.720
0.683	2.746
0.698	2.771
0.698	2.771
0.712	2.794
0.726	2.818
0.739	2.842
0.753	2.866
0.767	2.889
0.781	2.913
0.795	2.937
0.808	2.960
0.822	2.984
0.836	3.008
0.850	3.031
0.864	3.055
0.877	3.079
0.891	3.103
0.905	3.126
0.919	3.150
0.919	3.150
0.934	3.175
0.949	3.200
0.964	3.225
0.979	3.250
0.993	3.276
0.993	3.276
1.008	3.299
1.023	3.323
1.037	3.347
1.052	3.371
1.066	3.394
1.081	3.418
1.095	3.442
1.110	3.466
1.125	3.489
1.125	3.489
1.156	3.535
