x	y
7.525	6.862
7.510	6.878
7.494	6.893
7.479	6.909
7.464	6.925
7.449	6.941
7.433	6.957
7.418	6.973
7.403	6.989
7.387	7.005
7.372	7.021
7.357	7.037
7.342	7.044
7.327	7.028
7.311	7.012
7.296	6.995
7.281	6.980
7.267	6.962
7.254	6.945
7.240	6.928
7.226	6.911
7.212	6.893
7.198	6.876
7.184	6.859
7.171	6.841
7.160	6.823
7.150	6.803
7.139	6.784
7.129	6.764
7.118	6.745
7.107	6.725
7.097	6.706
7.086	6.686
7.079	6.666
7.071	6.645
7.064	6.624
7.057	6.603
7.050	6.582
7.043	6.561
7.036	6.540
7.029	6.519
7.021	6.499
7.016	6.478
7.012	6.456
7.007	6.434
7.002	6.413
6.998	6.391
6.993	6.369
6.989	6.348
6.984	6.327
6.979	6.305
6.975	6.283
6.970	6.262
6.966	6.240
6.963	6.218
6.982	6.222
7.004	6.227
7.026	6.233
7.047	6.238
7.068	6.242
7.090	6.247
7.112	6.252
7.133	6.255
7.155	6.258
7.177	6.260
7.199	6.262
7.221	6.263
7.243	6.264
7.265	6.264
7.287	6.264
7.309	6.265
7.331	6.265
7.353	6.265
7.375	6.264
7.397	6.264
7.419	6.263
7.441	6.263
7.463	6.263
7.485	6.262
7.507	6.261
7.529	6.258
7.551	6.255
7.573	6.253
7.595	6.250
7.616	6.245
7.637	6.239
7.658	6.233
7.680	6.227
7.700	6.220
7.720	6.211
7.741	6.202
7.761	6.193
7.781	6.184
7.801	6.176
7.820	6.165
7.840	6.154
7.859	6.143
7.879	6.133
7.896	6.121
7.914	6.108
7.932	6.095
7.950	6.082
7.966	6.068
7.983	6.053
7.999	6.038
8.015	6.023
8.030	6.006
8.044	5.990
8.059	5.973
8.073	5.956
8.086	5.939
8.099	5.921
8.112	5.903
8.124	5.885
8.135	5.866
8.147	5.847
8.157	5.828
8.167	5.808
8.177	5.789
8.188	5.769
8.198	5.749
8.207	5.730
8.217	5.710
8.227	5.690
8.236	5.670
8.246	5.650
8.256	5.630
8.265	5.610
8.275	5.590
8.284	5.570
8.294	5.550
8.304	5.531
8.314	5.511
8.324	5.491
8.334	5.472
8.344	5.452
8.354	5.432
8.364	5.412
8.374	5.393
8.384	5.373
8.394	5.354
8.405	5.335
8.417	5.316
8.428	5.297
8.439	5.278
8.450	5.259
8.462	5.240
8.473	5.221
8.484	5.202
8.497	5.184
8.509	5.166
8.522	5.148
8.535	5.130
8.547	5.112
8.560	5.093
8.573	5.075
8.585	5.058
8.599	5.041
8.613	5.024
8.628	5.007
8.642	4.989
8.656	4.972
8.670	4.955
8.684	4.938
8.699	4.922
8.714	4.906
8.730	4.890
8.745	4.874
8.761	4.859
8.777	4.845
8.794	4.830
8.810	4.815
8.826	4.801
8.844	4.787
8.861	4.773
8.878	4.759
8.895	4.745
8.913	4.733
8.931	4.721
8.950	4.708
8.968	4.696
8.986	4.684
