x	y	theta1	theta2	steps1	steps2	interval
0.030	5.674	149.555	82.837	0	0	0
0.030	5.674	149.559	82.837	0	0	0
0.030	5.674	149.563	82.838	0	0	0
0.029	5.673	149.567	82.838	0	0	0
0.029	5.673	149.572	82.838	0	0	0
0.029	5.672	149.576	82.838	0	0	0
0.028	5.672	149.580	82.838	0	0	0
0.028	5.672	149.584	82.838	0	0	0
0.028	5.671	149.588	82.839	0	0	0
0.028	5.671	149.592	82.839	0	0	0
0.027	5.670	149.596	82.839	0	0	0
0.027	5.670	149.600	82.839	0	0	0
0.027	5.670	149.605	82.839	0	0	0
0.026	5.669	149.609	82.839	0	0	0
0.026	5.669	149.613	82.839	0	0	0
0.026	5.668	149.617	82.840	0	0	0
0.025	5.668	149.621	82.840	0	0	0
0.025	5.667	149.625	82.840	0	0	0
0.025	5.667	149.629	82.840	0	0	0
0.025	5.667	149.633	82.840	0	0	0
0.024	5.666	149.637	82.840	0	0	0
0.024	5.666	149.642	82.841	0	0	0
0.024	5.665	149.646	82.841	0	0	0
0.023	5.665	149.650	82.841	0	0	0
0.023	5.665	149.654	82.841	0	0	0
0.023	5.664	149.658	82.841	0	0	0
0.023	5.664	149.662	82.841	0	0	0
0.022	5.663	149.666	82.842	0	0	0
0.022	5.663	149.670	82.842	0	0	0
0.022	5.662	149.675	82.842	0	0	0
0.021	5.662	149.679	82.842	0	0	0
0.021	5.662	149.683	82.842	0	0	0
0.021	5.661	149.687	82.842	0	0	0
0.021	5.661	149.691	82.843	0	0	0
0.020	5.660	149.695	82.843	0	0	0
0.020	5.660	149.699	82.843	0	0	0
0.020	5.660	149.703	82.843	0	0	0
0.019	5.659	149.707	82.843	0	0	0
0.019	5.659	149.712	82.843	0	0	0
0.019	5.658	149.716	82.844	0	0	0
0.019	5.658	149.720	82.844	0	0	0
0.018	5.658	149.724	82.844	0	0	0
0.018	5.657	149.728	82.844	0	0	0
0.018	5.657	149.732	82.844	0	0	0
0.017	5.656	149.736	82.845	0	0	0
0.017	5.656	149.740	82.845	0	0	0
0.017	5.655	149.745	82.845	0	0	0
0.017	5.655	149.749	82.845	0	0	0
0.016	5.655	149.753	82.845	0	0	0
0.016	5.654	149.757	82.845	0	0	0
0.016	5.654	149.761	82.846	0	0	0
0.015	5.653	149.765	82.846	0	0	0
